,Source,Target,Status,Inv_name
0,acd,iqumulus,paid,08_22_acd_celenase_kh_invoice
1,acd,accelebrate,nd,accelebrate_spark materials_invoice_3 - google sheets.pdf
2,acd,accelebrate,nd,accelebrate_spark materials_invoice_4_update.pdf
3,acd,accelebrate,nd,accelebrate_spark_invoice_4.pdf
4,acd,bhanalyitcs,paid,acd_1
5,acd,bhanalyitcs,paid,acd_10
6,acd,pma,paid,acd_1001
7,acd,pma,paid,acd_1002
8,acd,spectre,paid,acd_1003
9,acd,pma,paid,acd_1004
10,acd,pma,paid,acd_1005
11,acd,spectre,paid,acd_1006
12,acd,spectre,paid,acd_1007
13,acd,t.gerbino,pending,acd_1008
14,acd,bhanalyitcs,paid,acd_11
15,acd,bhanalyitcs,paid,acd_12
16,acd,bhanalyitcs,paid,acd_13
17,acd,bhanalyitcs,paid,acd_14
18,acd,bhanalyitcs,paid,acd_15
19,acd,nd,paid,acd_16
20,acd,bhanalyitcs,paid,acd_17
21,acd,bhanalyitcs,paid,acd_18
22,acd,nd,paid,acd_19
23,acd,bhanalyitcs,paid,acd_2
24,acd,iqumulus,paid,acd_20_1_23-iq- celanese
25,acd,webage,paid,acd_21
26,acd,webage,void,acd_21_void dupl
27,acd,webage,paid,acd_22
28,acd,bhanalyitcs,paid,acd_23
29,acd,bhanalyitcs,paid,acd_24
30,acd,bhanalyitcs,paid,acd_25
31,acd,exit_certifed,paid,acd_26
32,acd,bhanalyitcs,paid,acd_27
33,acd,accelebrate,paid,acd_28
34,acd,accelebrate,void,acd_29_void
35,acd,bhanalyitcs,paid,acd_3
36,acd,accelebrate,paid,acd_30_acc
37,acd,data_society,paid,acd_30_ds
38,acd,accelebrate,paid,acd_31
39,acd,webage,paid,acd_32
40,acd,exit_certifed,void,acd_33- taken care of on inv 17
41,acd,bhanalyitcs,paid,acd_34
42,acd,bhanalyitcs,paid,acd_35
43,acd,accelebrate,paid,acd_36
44,acd,data_society,paid,acd_37
45,acd,accelebrate,paid,acd_38_cdc
46,acd,accelebrate,paid,acd_38_kmart_sql
47,acd,changecx,paid,acd_39
48,acd,bhanalyitcs,paid,acd_4
49,acd,webage,paid,acd_40
50,acd,bhanalyitcs,paid,acd_41
51,acd,bhanalyitcs,paid,acd_42
52,acd,webage,paid,acd_43
53,acd,bhanalyitcs,paid,acd_44
54,acd,changecx,void,acd_44- void dupl; submitted 46
55,acd,webage,paid,acd_45
56,acd,changecx,paid,acd_46
57,acd,bhanalyitcs,paid,acd_47
58,acd,webage,paid,acd_48
59,acd,webage,paid,acd_49
60,acd,bhanalyitcs,paid,acd_5
61,acd,data_society,paid,acd_50
62,acd,bhanalyitcs,paid,acd_51
63,acd,perl health,paid,acd_52
64,acd,accelebrate,paid,acd_53
65,acd,bhanalyitcs,paid,acd_54
66,acd,bhanalyitcs,paid,acd_55
67,acd,perl health,paid,acd_56
68,acd,webage,paid,acd_57
69,acd,exit_certifed,paid,acd_58
70,acd,accelebrate,paid,acd_59
71,acd,bhanalyitcs,paid,acd_6
72,acd,exit_certifed,paid,acd_60 
73,acd,bhanalyitcs,paid,acd_61
74,acd,bhanalyitcs,paid,acd_62
75,acd,bhanalyitcs,pending,acd_63
76,acd,bhanalyitcs,paid,acd_64_rev2
77,acd,bhanalyitcs,paid,acd_65
78,acd,exit_certifed,paid,acd_66
79,acd,axcel,paid,acd_67
80,acd,accelebrate,paid,acd_68-nov_5-_6_2024
